city,state,population,latitude,longitude
West Palm Beach,Florida,102436,26.7153424,-80.0533746
Doral,Florida,50213,25.8195424,-80.3553302
Daytona Beach,Florida,62316,29.2108147,-81.02283309999999
North Lauderdale,Florida,42757,26.217305,-80.2258811
Deerfield Beach,Florida,78041,26.3184123,-80.0997657
Coral Springs,Florida,126604,26.271192,-80.27060440000001
Apopka,Florida,45587,28.6934076,-81.53221490000001
Hollywood,Florida,146526,26.0112014,-80.1494901
Tallahassee,Florida,186411,30.4382559,-84.2807329
Jacksonville,Florida,842583,30.3321838,-81.655651
Coral Gables,Florida,49631,25.72149,-80.2683838
Kissimmee,Florida,65173,28.291955699999995,-81.40757099999999
Orlando,Florida,255483,28.5383355,-81.3792365
Pinellas Park,Florida,49998,27.8428025,-82.6995443
North Miami Beach,Florida,43250,25.9331488,-80.1625463
North Miami,Florida,61007,25.8900949,-80.18671379999999
Miami Gardens,Florida,111378,25.9420377,-80.2456045
Melbourne,Florida,77508,28.0836269,-80.6081089
Palm Bay,Florida,104898,28.03446210000001,-80.5886646
Sanford,Florida,56002,28.802861199999995,-81.269453
Pompano Beach,Florida,104410,26.2378597,-80.1247667
Davie,Florida,96830,26.0764783,-80.2521157
Oakland Park,Florida,43286,26.1723065,-80.13198929999999
Boynton Beach,Florida,71097,26.531786600000004,-80.0905465
Delray Beach,Florida,64072,26.4614625,-80.07282009999999
Wellington,Florida,60202,26.6617635,-80.2683571
Weston,Florida,68388,26.1003654,-80.3997748
Titusville,Florida,44206,28.6122187,-80.8075537
Miami Beach,Florida,91026,25.790654,-80.1300455
Sunrise,Florida,90116,26.1669711,-80.25659499999999
Pensacola,Florida,52703,30.421309,-87.2169149
Lakeland,Florida,100710,28.0394654,-81.9498042
Fort Myers,Florida,68190,26.640628000000003,-81.87230840000001
Tampa,Florida,352957,27.950575,-82.4571776
Plantation,Florida,90268,26.1275862,-80.23310359999999
Sarasota,Florida,53326,27.3364347,-82.5306527
Jupiter,Florida,58298,26.934224600000004,-80.09420870000001
St. Cloud,Florida,40918,28.2489016,-81.2811801
Palm Coast,Florida,78740,29.5844524,-81.2078699
Altamonte Springs,Florida,42150,28.6611089,-81.36562420000001
Tamarac,Florida,63155,26.2128609,-80.2497707
Pembroke Pines,Florida,162329,26.007765,-80.2962555
Deltona,Florida,86290,28.9005446,-81.2636738
Port Orange,Florida,57203,29.1383165,-80.9956105
St. Petersburg,Florida,249688,27.773056,-82.64
Port St. Lucie,Florida,171016,27.2730492,-80.3582261
Ormond Beach,Florida,38661,29.2858129,-81.05588940000001
Miramar,Florida,130288,25.9860762,-80.3035602
Coconut Creek,Florida,56792,26.2517482,-80.17893509999999
Bradenton,Florida,51763,27.4989278,-82.5748194
Fort Lauderdale,Florida,172389,26.1224386,-80.13731740000001
Clearwater,Florida,109703,27.9658533,-82.8001026
Cutler Bay,Florida,43328,25.5808323,-80.3468593
Margate,Florida,55456,26.244526300000004,-80.206436
Miami,Florida,417650,25.7616798,-80.1917902
Bonita Springs,Florida,47547,26.339806,-81.77869720000001
North Port,Florida,59212,27.044224,-82.23592540000001
Homestead,Florida,64079,25.4687224,-80.4775569
Cape Coral,Florida,165831,26.5628537,-81.94953309999998
Largo,Florida,78409,27.9094665,-82.7873244
Palm Beach Gardens,Florida,50699,26.8233946,-80.1386547
Hallandale Beach,Florida,38632,25.9812024,-80.148379
Hialeah,Florida,233394,25.8575963,-80.2781057
Gainesville,Florida,127488,29.6516344,-82.3248262
Aventura,Florida,37199,25.9564812,-80.1392121
Winter Garden,Florida,37711,28.5652787,-81.5861847
Greenacres,Florida,38696,26.6276276,-80.1353896
Ocoee,Florida,39172,28.5691677,-81.5439619
Panama City,Florida,36877,30.1588129,-85.6602058
Fort Pierce,Florida,43074,27.446705600000005,-80.3256056
Ocala,Florida,57468,29.1871986,-82.14009229999999
Boca Raton,Florida,89407,26.3683064,-80.1289321
Lauderhill,Florida,69813,26.1403635,-80.2133808
